Point Name,Line,Location,Terminal,Point Name,trend,count,Type,Contains Outliers
(CLX EXPO) DC-56 HATCH  M33T5i1,,,(CLX EXPO) M33T5 ,(CLX EXPO) DC-56 HATCH  M33T5i1,"2,1",3,HATCH,False
(CLX EXPO) DC-57 CCTV BOX   M33T2i3,,,(CLX EXPO) M33T2 ,(CLX EXPO) DC-57 CCTV BOX   M33T2i3,1,1,,False
(CLX EXPO) STATION M33,,,System at PINSV,(CLX EXPO) STATION M33,1,1,,False
(CLX FAIRVIEW) STATION DR  M24T1D1,,,(CLX FAIRVIEW) STATION M24T1 ,(CLX FAIRVIEW) STATION DR  M24T1D1,"1,2,1,2",6,,False
(CLX FAIRVIEW) STATION ENTRANCE HATCH  M24T1i2,,,(CLX FAIRVIEW) STATION M24T1 ,(CLX FAIRVIEW) STATION ENTRANCE HATCH  M24T1i2,"1,1",2,HATCH,False
(CLX FAIRVIEW) STATION REAR DR  M24T1i1,,,(CLX FAIRVIEW) STATION M24T1,(CLX FAIRVIEW) STATION REAR DR  M24T1i1,2,2,,False
(CLX HINDRY CROSS) HOUSE DR  M6T1D1,,,(CLX HINDRY CROSS)HOUSE M6T1,(CLX HINDRY CROSS) HOUSE DR  M6T1D1,1,1,,False
(CLX HINDRY) STATION DR  M23T1D1,,,(CLX HINDRY) STATION M23T1 ,(CLX HINDRY) STATION DR  M23T1D1,"3,1",4,,False
(CLX HINDRY) STATION ENTRANCE HATCH  M23T1i1,,,(CLX HINDRY) STATION M23T1 ,(CLX HINDRY) STATION ENTRANCE HATCH  M23T1i1,2,2,HATCH,False
(CLX HYDE PARK) FRONT DR  M22T1D1,,,(CLX HYDE PARK) STATION M22T1 ,(CLX HYDE PARK) FRONT DR  M22T1D1,"1,1,2,2",6,,False
(CLX INGLEWOOD) TC & C DR  M8T1D1,,,(CLX INGLEWOOD) TC & C M8T1,(CLX INGLEWOOD) TC & C DR  M8T1D1,"2,1,3",6,,False
(CLX MLK) CR-01 DR  M32T1D1,,,(CLX MLK) M32T1 ,(CLX MLK) CR-01 DR  M32T1D1,"4,1,2",7,,False
(CLX MLK) CR-02 DR  M32T1D2,,,(CLX MLK) M32T1 ,(CLX MLK) CR-02 DR  M32T1D2,"4,1,2,3",10,,False
(CLX MLK) CR-03 DR  M32T3D1,,,(CLX MLK) M32T2 ,(CLX MLK) CR-03 DR  M32T3D1,"2,1,2,4",9,,False
(CLX MLK) CR-04 DR  M32T3D2,,,(CLX MLK) M32T2 ,(CLX MLK) CR-04 DR  M32T3D2,"2,3,5,3,3,2",18,,True
(CLX MLK) CR-05 DR  M32T3D1,,,(CLX MLK) M32T3 ,(CLX MLK) CR-05 DR  M32T3D1,"7,2,1,11,56,1,6",84,,True
(CLX MLK) CR-06 DR  M32T12D1,,,(CLX MLK) M32T12 ,(CLX MLK) CR-06 DR  M32T12D1,"1,6,3,1",11,,False
(CLX MLK) CR-07 DR  M32T3D2,,,(CLX MLK) M32T3 ,(CLX MLK) CR-07 DR  M32T3D2,"1744,16,26,3,1,5",1795,,True
(CLX MLK) CR-08 DR  M32T8D1,,,(CLX MLK) M32T8 ,(CLX MLK) CR-08 DR  M32T8D1,"3,3,7",13,,False
(CLX MLK) CR-09 DR  M32T5D1,,,(CLX MLK) M32T5 ,(CLX MLK) CR-09 DR  M32T5D1,"1,2",3,,False
(CLX MLK) CR-10/DC-29 DR  M32T4D1,,,(CLX MLK) M32T4,(CLX MLK) CR-10/DC-29 DR  M32T4D1,"1,2",3,,False
(CLX MLK) DC-02  M32T12i4,,,(CLX MLK) M32T12 ,(CLX MLK) DC-02  M32T12i4,"3,12",15,,False
(CLX MLK) DC-03  M32T12i3,,,(CLX MLK) M32T12,(CLX MLK) DC-03  M32T12i3,"1,19,1",21,,False
(CLX MLK) DC-04  M32T13i1,,,(CLX MLK) M32T13,(CLX MLK) DC-04  M32T13i1,"1,1",2,,False
(CLX MLK) DC-05 CR-06  M32T12i2,,,(CLX MLK) M32T12 ,(CLX MLK) DC-05 CR-06  M32T12i2,"1,6,5,1,1",14,,False
